Twitter Users,Retweeted User,Retweets,Generation,User followers
drsimonegold,Cernovich,20253,1,393522
Notyour28981739,bmj_latest,19185,1,11845
avoiceforchoice,ClayTravis,16952,1,8199
HegKong,ScienceWDrDoug,15496,1,35613
HegKong,RobertKennedyJr,15244,1,35734
ritamollerpalma,MythinformedMKE,15051,1,5308
ChildrensHD,RobertKennedyJr,14573,1,90608
YardleyShooting,RobertKennedyJr,13882,1,67465
SNCCLA,drsimonegold,12531,1,5652
ClareCraigPath,P_McCulloughMD,11046,1,102163
Believe_Mothers,P_McCulloughMD,10199,1,5890
Believe_Mothers,RobertKennedyJr,9424,1,5851
ChildrensHD,RobertKennedyJr,9294,1,96683
ClareCraigPath,rick_pittman,8948,1,87742
YardleyShooting,danielkotzin,7749,1,52001
ritamollerpalma,ChuckCallesto,7739,1,5206
ritamollerpalma,RepThomasMassie,7636,1,5336
Notyour28981739,ScienceWDrDoug,7529,1,11816
Believe_Mothers,RandPaul,7299,1,5845
Notyour28981739,ChuckCallesto,6990,1,13237
Believe_Mothers,DrEliDavid,6971,1,5871
avoiceforchoice,RepThomasMassie,6926,1,8332
JenniferMarguli,P_McCulloughMD,6810,1,15857
ClareCraigPath,dockaurG,6660,1,72866
jorient,akheriaty,6613,1,8716
ake2306,danielkotzin,6493,3,11796
Notyour28981739,JackPosobiec,6445,1,11603
sallyKP,martingeddes,6207,1,14227
ritamollerpalma,ChuckCallesto,5991,1,5206
HegKong,ElectionWiz,5947,1,34263
waynerohde,RepThomasMassie,5875,1,3635
ritamollerpalma,barnes_law,5783,1,5190
justiceforevee,RepThomasMassie,5713,1,12035
SNCCLA,RobertKennedyJr,5686,1,4949
ScienceWDrDoug,akheriaty,5616,2,62979
Notyour28981739,Channel4News,5551,1,11137
YardleyShooting,Channel4News,5442,1,59424
BeckyJohnson222,drsimonegold,5319,1,4836
Believe_Mothers,ChuckCallesto,5151,1,5935
DrTessaT,RepThomasMassie,5150,3,19534
TonyHinton2016,akheriaty,5128,2,60124
sallyKP,drsimonegold,5112,1,13994
Notyour28981739,drsimonegold,5087,1,7874
DrAseemMalhotra,drsimonegold,4674,2,185236
Notyour28981739,ezralevant,4599,1,12365
TonyHinton2016,DrJBhattacharya,4491,2,60084
sallyKP,danielkotzin,4488,1,13994
jorient,JackPosobiec,4359,1,8476
eileeniorio,ElectionWiz,4355,1,20518
Notyour28981739,RobertKennedyJr,4195,1,11803
Notyour28981739,delbigtree,4145,1,13237
Notyour28981739,drsimonegold,3971,2,13229
eileeniorio,ElectionWiz,3945,1,20571
martingeddes,DrBenTapper1,3808,1,247796
waynerohde,DrJBhattacharya,3699,1,3785
richardursomd,dockaurG,3687,1,82007
Believe_Mothers,dockaurG,3683,1,5944
avoiceforchoice,RandPaul,3642,1,8355
ClareCraigPath,SikhForTruth,3482,1,119074
JeffereyJaxen,RandPaul,3372,1,20770
ChildrensHD,RobertKennedyJr,3368,1,94055
HegKong,JamesMelville,3352,1,33552
ClareCraigPath,dockaurG,3335,1,73258
danielkotzin,DrJBhattacharya,3289,2,30143
ChildrensHD,RobertKennedyJr,3287,1,97033
SNCCLA,DrBenTapper1,3265,1,5660
Notyour28981739,drsimonegold,3239,1,11222
avoiceforchoice,RepThomasMassie,3219,1,8342
ianmSC,DrJBhattacharya,3198,2,71072
MartinKulldorff,DrJBhattacharya,3167,2,236380
Believe_Mothers,Cernovich,3112,1,5532
Notyour28981739,JackPosobiec,3100,1,11841
SNCCLA,drsimonegold,3069,1,5651
Notyour28981739,ChuckCallesto,3068,1,11850
ClareCraigPath,ElectionWiz,3028,1,86960
Notyour28981739,drsimonegold,3025,1,7017
debnantz,danielkotzin,3003,1,9856
jonrappoport,RobertKennedyJr,3000,1,65288
Notyour28981739,DrAseemMalhotra,2998,1,12439
ChildrensHD,RobertKennedyJr,2959,1,98289
Believe_Mothers,JamesMelville,2954,1,5846
waynerohde,DrJBhattacharya,2942,1,4018
ClareCraigPath,MaajidNawaz,2839,1,87697
Notyour28981739,ScienceWDrDoug,2771,1,12423
avoiceforchoice,RandPaul,2759,1,8136
JamesMelville,toadmeister,2742,2,264416
ClareCraigPath,aginnt,2715,1,76644
HegKong,rick_pittman,2702,1,34268
ChildrensHD,RobertKennedyJr,2694,1,68276
jorient,DrAseemMalhotra,2654,1,8966
KimIversenShow,akheriaty,2652,2,70454
Notyour28981739,HighWireTalk,2618,1,11625
ritamollerpalma,Cernovich,2610,1,5059
lifebiomedguru,MythinformedMKE,2596,1,45298
barnes_law,MartinKulldorff,2594,2,239210
ChildrensHD,RobertKennedyJr,2563,1,78965
waynerohde,RobertKennedyJr,2550,1,3762
JeffereyJaxen,RandPaul,2542,1,27326
ChildrensHD,RobertKennedyJr,2515,1,79937
SNCCLA,RandPaul,2492,1,4813
YardleyShooting,toadmeister,2480,1,68807
ChildrensHD,RobertKennedyJr,2459,1,91000
GenRescue,RandPaul,2458,1,20382
eileeniorio,RobertKennedyJr,2379,1,20524
avoiceforchoice,barnes_law,2379,1,8168
Notyour28981739,MythinformedMKE,2370,1,12376
ezralevant,RepThomasMassie,2357,2,352274
TannersDad,HighWireTalk,2343,1,19293
ClareCraigPath,JamesMelville,2314,1,102709
JenniferMarguli,RobertKennedyJr,2274,1,12632
waynerohde,RandPaul,2262,1,3688
waynerohde,P_McCulloughMD,2257,1,3767
DrAseemMalhotra,DrJBhattacharya,2257,2,184856
eileeniorio,SenRonJohnson,2224,1,16833
ClareCraigPath,DrEliDavid,2222,1,106592
richardursomd,drsimonegold,2214,2,141696
sallyKP,RobertKennedyJr,2212,1,14000
avoiceforchoice,RandPaul,2209,1,8082
ChildrensHD,RobertKennedyJr,2208,1,83156
Believe_Mothers,ollysmithtravel,2193,1,5847
Notyour28981739,barnes_law,2155,1,11230
ChildrensHD,RobertKennedyJr,2153,1,76642
eileeniorio,JackPosobiec,2128,1,20579
HegKong,ollysmithtravel,2125,1,33552
YardleyShooting,SteveBakerHW,2084,1,61884
richardursomd,drsimonegold,2055,1,136377
lifebiomedguru,RobertKennedyJr,2019,1,45296
SNCCLA,RobertKennedyJr,2009,1,4815
Notyour28981739,RobertKennedyJr,1956,1,11243
DrJBhattacharya,RepThomasMassie,1951,2,181235
Notyour28981739,RepThomasMassie,1943,1,12440
eileeniorio,RobertKennedyJr,1891,1,20574
justiceforevee,delbigtree,1887,1,11903
jorient,JamesMelville,1866,1,8631
